"","city","state","city_size","mode","n","percent","moe","state_abb","state_region","city_state","lon","lat"
"1050","Pleasanton city","California","Small","Bike",277,0.8,0.4,"CA","West","Pleasanton city, California",-121.8757968,37.6604484
"1051","Pleasantville city","New Jersey","Small","Bike",18,0.2,0.3,"NJ","Northeast","Pleasantville city, New Jersey",-74.5240422,39.3898388
"1052","Plum borough","Pennsylvania","Small","Bike",0,0,0.2,"PA","Northeast","Plum borough, Pennsylvania",-79.7494911,40.5003456
"1053","Plymouth city","Minnesota","Small","Bike",197,0.5,0.3,"MN","North Central","Plymouth city, Minnesota",-93.4555093,45.0105194
"1054","Pocatello city","Idaho","Small","Bike",362,1.4,0.5,"ID","West","Pocatello city, Idaho",-112.4506191,42.8621042
"1055","Ponca City city","Oklahoma","Small","Bike",6,0.1,0.1,"OK","South","Ponca City city, Oklahoma",-97.0855948,36.706981
"1056","Pontiac city","Michigan","Small","Bike",31,0.1,0.2,"MI","North Central","Pontiac city, Michigan",-83.2910468,42.6389216
"1057","Pooler city","Georgia","Small","Bike",47,0.5,0.6,"GA","South","Pooler city, Georgia",-81.2470574,32.115481
"1058","Port Arthur city","Texas","Small","Bike",126,0.6,0.4,"TX","South","Port Arthur city, Texas",-93.939947,29.8849504
"1059","Port Chester village","New York","Small","Bike",53,0.3,0.4,"NY","Northeast","Port Chester village, New York",-73.6656834,41.0017643
"1060","Port Hueneme city","California","Small","Bike",112,1.2,0.9,"CA","West","Port Hueneme city, California",-119.1951074,34.1477829
"1061","Port Huron city","Michigan","Small","Bike",218,1.9,1.1,"MI","North Central","Port Huron city, Michigan",-82.4249142,42.9708634
"1062","Port Orange city","Florida","Small","Bike",67,0.3,0.3,"FL","South","Port Orange city, Florida",-80.9956105,29.1383165
"1063","Portage city","Indiana","Small","Bike",27,0.2,0.3,"IN","North Central","Portage city, Indiana",-87.1761455,41.5758707
"1064","Portage city","Michigan","Small","Bike",37,0.2,0.1,"MI","North Central","Portage city, Michigan",-85.5800022,42.2011538
"1065","Porterville city","California","Small","Bike",231,1.2,0.7,"CA","West","Porterville city, California",-119.0167679,36.06523
"1066","Portland city","Maine","Small","Bike",660,1.8,0.6,"ME","Northeast","Portland city, Maine",-70.2568189,43.6590993
"1067","Portsmouth city","New Hampshire","Small","Bike",199,1.6,0.9,"NH","Northeast","Portsmouth city, New Hampshire",-70.7625532,43.0717552
"1068","Portsmouth city","Ohio","Small","Bike",21,0.3,0.4,"OH","North Central","Portsmouth city, Ohio",-82.9976742,38.7317431
"1069","Portsmouth city","Virginia","Small","Bike",269,0.6,0.2,"VA","South","Portsmouth city, Virginia",-76.2982742,36.8354258
"1070","Post Falls city","Idaho","Small","Bike",58,0.5,0.6,"ID","West","Post Falls city, Idaho",-116.9515856,47.7179578
"1071","Pottstown borough","Pennsylvania","Small","Bike",55,0.5,0.4,"PA","Northeast","Pottstown borough, Pennsylvania",-75.6496302,40.2453741
"1072","Poughkeepsie city","New York","Small","Bike",107,0.8,0.5,"NY","Northeast","Poughkeepsie city, New York",-73.9209701,41.7003713
"1073","Poway city","California","Small","Bike",180,0.8,0.5,"CA","West","Poway city, California",-117.0358646,32.9628232
"1074","Prairie Village city","Kansas","Small","Bike",40,0.3,0.3,"KS","North Central","Prairie Village city, Kansas",-94.6335684,38.9916726
"1075","Prattville city","Alabama","Small","Bike",0,0,0.2,"AL","South","Prattville city, Alabama",-86.4596966,32.4640245
"1076","Prescott city","Arizona","Small","Bike",200,1.4,0.9,"AZ","West","Prescott city, Arizona",-112.4685025,34.5400242
"1077","Prescott Valley town","Arizona","Small","Bike",131,0.8,0.8,"AZ","West","Prescott Valley town, Arizona",-112.315721,34.6100243
"1078","Prichard city","Alabama","Small","Bike",10,0.1,0.2,"AL","South","Prichard city, Alabama",-88.0896618,30.7451545
"1079","Prior Lake city","Minnesota","Small","Bike",10,0.1,0.1,"MN","North Central","Prior Lake city, Minnesota",-93.4227274,44.7132969
"1080","Pullman city","Washington","Small","Bike",321,2.4,1,"WA","West","Pullman city, Washington",-117.1817377,46.7297771
"1081","Puyallup city","Washington","Small","Bike",94,0.5,0.4,"WA","West","Puyallup city, Washington",-122.2928974,47.1853785
"1082","Queen Creek town","Arizona","Small","Bike",0,0,0.3,"AZ","West","Queen Creek town, Arizona",-111.6345554,33.2486083
