"","city","state","city_size","mode","n","percent","moe","state_abb","state_region","city_state","lon","lat"
"1","Aberdeen city","South Dakota","Small","Bike",110,0.8,0.5,"SD","North Central","Aberdeen city, South Dakota",-98.4864829,45.4646985
"2","Acworth city","Georgia","Small","Bike",0,0,0.4,"GA","South","Acworth city, Georgia",-84.6768796,34.0659329
"3","Addison village","Illinois","Small","Bike",43,0.2,0.3,"IL","North Central","Addison village, Illinois",-87.9889556,41.931696
"4","Adelanto city","California","Small","Bike",0,0,0.5,"CA","West","Adelanto city, California",-117.409215,34.5827699
"5","Adrian city","Michigan","Small","Bike",121,1.5,1,"MI","North Central","Adrian city, Michigan",-84.0371659,41.8975471
"6","Agawam Town city","Massachusetts","Small","Bike",0,0,0.2,"MA","Northeast","Agawam Town city, Massachusetts",-72.6148117,42.0695391
"7","Agoura Hills city","California","Small","Bike",84,0.8,1.1,"CA","West","Agoura Hills city, California",-118.7616764,34.1533395
"8","Aiken city","South Carolina","Small","Bike",23,0.2,0.3,"SC","South","Aiken city, South Carolina",-81.7195533,33.5604168
"9","Alabaster city","Alabama","Small","Bike",0,0,0.2,"AL","South","Alabaster city, Alabama",-86.8163773,33.2442813
"10","Alameda city","California","Small","Bike",576,1.5,0.4,"CA","West","Alameda city, California",-122.2821855,37.7798721
"11","Alamogordo city","New Mexico","Small","Bike",35,0.3,0.2,"NM","West","Alamogordo city, New Mexico",-105.960265,32.8995325
"12","Albany city","Georgia","Small","Bike",77,0.3,0.2,"GA","South","Albany city, Georgia",-84.155741,31.5785074
"13","Albany city","New York","Small","Bike",419,0.9,0.3,"NY","Northeast","Albany city, New York",-73.7562317,42.6525793
"14","Albany city","Oregon","Small","Bike",281,1.3,0.6,"OR","West","Albany city, Oregon",-123.1059282,44.6365107
"15","Albertville city","Alabama","Small","Bike",2,0,0.1,"AL","South","Albertville city, Alabama",-86.2088669,34.2675937
"16","Alexandria city","Louisiana","Small","Bike",100,0.5,0.3,"LA","South","Alexandria city, Louisiana",-92.4451371,31.3112936
"17","Algonquin village","Illinois","Small","Bike",109,0.7,0.6,"IL","North Central","Algonquin village, Illinois",-88.2942493,42.1655801
"18","Alhambra city","California","Small","Bike",198,0.5,0.2,"CA","West","Alhambra city, California",-118.1270146,34.095287
"19","Aliso Viejo city","California","Small","Bike",85,0.3,0.2,"CA","West","Aliso Viejo city, California",-117.7262981,33.5684605
"20","Allen city","Texas","Small","Bike",21,0,0.1,"TX","South","Allen city, Texas",-96.6705503,33.1031744
"21","Allen Park city","Michigan","Small","Bike",55,0.5,0.4,"MI","North Central","Allen Park city, Michigan",-83.2110375,42.2575385
"22","Alliance city","Ohio","Small","Bike",19,0.2,0.2,"OH","North Central","Alliance city, Ohio",-81.1059309,40.9153362
"23","Alpharetta city","Georgia","Small","Bike",0,0,0.1,"GA","South","Alpharetta city, Georgia",-84.2940899,34.0753762
"24","Altamonte Springs city","Florida","Small","Bike",282,1.3,0.7,"FL","South","Altamonte Springs city, Florida",-81.3656242,28.6611089
"25","Alton city","Illinois","Small","Bike",10,0.1,0.1,"IL","North Central","Alton city, Illinois",-90.1842764,38.8906038
"26","Altoona city","Pennsylvania","Small","Bike",33,0.2,0.2,"PA","Northeast","Altoona city, Pennsylvania",-78.3947359,40.5186809
"27","Alvin city","Texas","Small","Bike",127,1.2,0.7,"TX","South","Alvin city, Texas",-95.2441009,29.4238472
"28","American Fork city","Utah","Small","Bike",32,0.3,0.3,"UT","West","American Fork city, Utah",-111.7957645,40.3768954
"29","Ames city","Iowa","Small","Bike",808,2.5,0.6,"IA","North Central","Ames city, Iowa",-93.6319131,42.0307812
"30","Anderson city","Indiana","Small","Bike",96,0.4,0.2,"IN","North Central","Anderson city, Indiana",-85.6802541,40.1053196
"31","Anderson city","South Carolina","Small","Bike",10,0.1,0.2,"SC","South","Anderson city, South Carolina",-82.6501332,34.5034394
"32","Andover city","Minnesota","Small","Bike",22,0.1,0.2,"MN","North Central","Andover city, Minnesota",-93.2913405,45.2332984
"33","Ankeny city","Iowa","Small","Bike",52,0.2,0.2,"IA","North Central","Ankeny city, Iowa",-93.6001278,41.7317884
"34","Annapolis city","Maryland","Small","Bike",41,0.2,0.2,"MD","South","Annapolis city, Maryland",-76.4921829,38.9784453
"35","Anniston city","Alabama","Small","Bike",12,0.1,0.2,"AL","South","Anniston city, Alabama",-85.8316318,33.6598257
"36","Apache Junction city","Arizona","Small","Bike",71,0.6,0.6,"AZ","West","Apache Junction city, Arizona",-111.5495777,33.4150485
"37","Apex town","North Carolina","Small","Bike",0,0,0.2,"NC","South","Apex town, North Carolina",-78.8502856,35.732652
"38","Apopka city","Florida","Small","Bike",79,0.4,0.4,"FL","South","Apopka city, Florida",-81.5322149,28.6934076
"39","Apple Valley city","Minnesota","Small","Bike",79,0.3,0.2,"MN","North Central","Apple Valley city, Minnesota",-93.21772,44.7319094
"40","Apple Valley town","California","Small","Bike",21,0.1,0.1,"CA","West","Apple Valley town, California",-117.1858759,34.5008311
"41","Appleton city","Wisconsin","Small","Bike",399,1.1,0.4,"WI","North Central","Appleton city, Wisconsin",-88.4153847,44.2619309
"42","Arcadia city","California","Small","Bike",90,0.4,0.2,"CA","West","Arcadia city, California",-118.0353449,34.1397292
"43","Ardmore city","Oklahoma","Small","Bike",19,0.2,0.3,"OK","South","Ardmore city, Oklahoma",-97.1436254,34.1742611
"44","Arlington Heights village","Illinois","Small","Bike",154,0.4,0.2,"IL","North Central","Arlington Heights village, Illinois",-87.9806265,42.0883603
"45","Arnold city","Missouri","Small","Bike",0,0,0.3,"MO","North Central","Arnold city, Missouri",-90.3776187,38.4328317
"46","Arvin city","California","Small","Bike",0,0,0.6,"CA","West","Arvin city, California",-118.833105,35.2017986
"47","Asheboro city","North Carolina","Small","Bike",10,0.1,0.2,"NC","South","Asheboro city, North Carolina",-79.8136446,35.7079146
"48","Asheville city","North Carolina","Small","Bike",428,1.1,0.3,"NC","South","Asheville city, North Carolina",-82.5514869,35.5950581
"49","Ashland city","Kentucky","Small","Bike",0,0,0.4,"KY","South","Ashland city, Kentucky",-82.6379387,38.4784144
"50","Ashland city","Ohio","Small","Bike",49,0.6,0.4,"OH","North Central","Ashland city, Ohio",-82.3182178,40.8686675
"51","Ashland city","Oregon","Small","Bike",560,6.2,1.9,"OR","West","Ashland city, Oregon",-122.7094767,42.1945758
"52","Atascadero city","California","Small","Bike",58,0.4,0.4,"CA","West","Atascadero city, California",-120.6707255,35.4894169
"53","Athens city","Alabama","Small","Bike",0,0,0.4,"AL","South","Athens city, Alabama",-86.9716741,34.8028661
"54","Athens city","Ohio","Small","Bike",208,2.2,0.9,"OH","North Central","Athens city, Ohio",-82.1012554,39.3292396
"55","Atlantic City city","New Jersey","Small","Bike",166,1.1,0.6,"NJ","Northeast","Atlantic City city, New Jersey",-74.4229266,39.3642834
"56","Attleboro city","Massachusetts","Small","Bike",39,0.2,0.2,"MA","Northeast","Attleboro city, Massachusetts",-71.2856082,41.9445441
"57","Atwater city","California","Small","Bike",18,0.2,0.2,"CA","West","Atwater city, California",-120.609084,37.3477174
"58","Auburn city","Alabama","Small","Bike",475,2,0.5,"AL","South","Auburn city, Alabama",-85.4807825,32.6098566
"59","Auburn city","Maine","Small","Bike",57,0.5,0.5,"ME","Northeast","Auburn city, Maine",-70.2311655,44.0978509
"60","Auburn city","New York","Small","Bike",54,0.4,0.4,"NY","Northeast","Auburn city, New York",-76.5660529,42.9317335
"61","Auburn city","Washington","Small","Bike",97,0.3,0.2,"WA","West","Auburn city, Washington",-122.2284532,47.3073228
"62","Auburn Hills city","Michigan","Small","Bike",43,0.4,0.4,"MI","North Central","Auburn Hills city, Michigan",-83.2341028,42.6875323
"63","Austin city","Minnesota","Small","Bike",100,0.9,0.7,"MN","North Central","Austin city, Minnesota",-92.9746367,43.6666296
"64","Aventura city","Florida","Small","Bike",0,0,0.3,"FL","South","Aventura city, Florida",-80.1392121,25.9564812
"65","Avon city","Ohio","Small","Bike",14,0.2,0.2,"OH","North Central","Avon city, Ohio",-82.0354225,41.4517093
"66","Avon Lake city","Ohio","Small","Bike",78,0.7,0.7,"OH","North Central","Avon Lake city, Ohio",-82.0282001,41.5053178
"67","Avondale city","Arizona","Small","Bike",42,0.1,0.1,"AZ","West","Avondale city, Arizona",-112.3496021,33.4355977
"68","Azusa city","California","Small","Bike",154,0.7,0.4,"CA","West","Azusa city, California",-117.9075627,34.1336186
"69","Bainbridge Island city","Washington","Small","Bike",194,1.9,0.9,"WA","West","Bainbridge Island city, Washington",-122.5210007,47.6248791
"70","Balch Springs city","Texas","Small","Bike",0,0,0.4,"TX","South","Balch Springs city, Texas",-96.6227714,32.7287413
"71","Baldwin Park city","California","Small","Bike",294,1,0.5,"CA","West","Baldwin Park city, California",-117.9608978,34.0852868
"72","Ballwin city","Missouri","Small","Bike",0,0,0.2,"MO","North Central","Ballwin city, Missouri",-90.5462339,38.5950532
"73","Bangor city","Maine","Small","Bike",50,0.3,0.3,"ME","Northeast","Bangor city, Maine",-68.7712257,44.8016128
"74","Banning city","California","Small","Bike",47,0.5,0.5,"CA","West","Banning city, California",-116.8764103,33.9255713
"75","Barberton city","Ohio","Small","Bike",8,0.1,0.1,"OH","North Central","Barberton city, Ohio",-81.6051221,41.012833
"76","Barnstable Town city","Massachusetts","Small","Bike",49,0.2,0.2,"MA","Northeast","Barnstable Town city, Massachusetts",-70.3002024,41.7003208
"77","Barstow city","California","Small","Bike",29,0.3,0.5,"CA","West","Barstow city, California",-117.0172826,34.8957957
"78","Bartlesville city","Oklahoma","Small","Bike",115,0.7,0.5,"OK","South","Bartlesville city, Oklahoma",-95.9808179,36.7473114
"79","Bartlett city","Tennessee","Small","Bike",36,0.1,0.2,"TN","South","Bartlett city, Tennessee",-89.8739753,35.2045328
"80","Bartlett village","Illinois","Small","Bike",28,0.1,0.1,"IL","North Central","Bartlett village, Illinois",-88.1856301,41.9950276
"81","Batavia city","Illinois","Small","Bike",47,0.4,0.4,"IL","North Central","Batavia city, Illinois",-88.3125738,41.8500284
"82","Battle Creek city","Michigan","Small","Bike",61,0.3,0.2,"MI","North Central","Battle Creek city, Michigan",-85.1797142,42.3211522
"83","Bay City city","Michigan","Small","Bike",158,1.1,0.6,"MI","North Central","Bay City city, Michigan",-83.8888647,43.5944677
"84","Bayonne city","New Jersey","Small","Bike",71,0.2,0.2,"NJ","Northeast","Bayonne city, New Jersey",-74.1143091,40.6687141
"85","Baytown city","Texas","Small","Bike",83,0.3,0.3,"TX","South","Baytown city, Texas",-94.9774274,29.7355047
"86","Beaumont city","California","Small","Bike",36,0.2,0.2,"CA","West","Beaumont city, California",-116.977248,33.9294606
"87","Beavercreek city","Ohio","Small","Bike",116,0.5,0.3,"OH","North Central","Beavercreek city, Ohio",-84.0632685,39.7092262
"88","Beaverton city","Oregon","Small","Bike",564,1.3,0.4,"OR","West","Beaverton city, Oregon",-122.8013771,45.4888761
"89","Bedford city","Texas","Small","Bike",54,0.2,0.1,"TX","South","Bedford city, Texas",-97.1430671,32.844017
"90","Bell city","California","Small","Bike",234,1.8,0.9,"CA","West","Bell city, California",-118.1870156,33.9775142
"91","Bell Gardens city","California","Small","Bike",173,1.1,0.5,"CA","West","Bell Gardens city, California",-118.1514588,33.9652918
"92","Bella Vista town","Arkansas","Small","Bike",0,0,0.3,"AR","South","Bella Vista town, Arkansas",-94.2732642,36.481464
"93","Belleville city","Illinois","Small","Bike",100,0.5,0.3,"IL","North Central","Belleville city, Illinois",-89.9839935,38.5200504
"94","Bellevue city","Nebraska","Small","Bike",31,0.1,0.1,"NE","North Central","Bellevue city, Nebraska",-95.9145568,41.1543623
"95","Bellflower city","California","Small","Bike",177,0.6,0.3,"CA","West","Bellflower city, California",-118.1170117,33.8816818
"96","Bellingham city","Washington","Small","Bike",1578,4,1,"WA","West","Bellingham city, Washington",-122.4786854,48.7519112
"97","Belmont city","California","Small","Bike",42,0.3,0.3,"CA","West","Belmont city, California",-122.2758008,37.5202145
"98","Beloit city","Wisconsin","Small","Bike",86,0.6,0.4,"WI","North Central","Beloit city, Wisconsin",-89.0317765,42.5083482
"99","Belton city","Missouri","Small","Bike",32,0.3,0.3,"MO","North Central","Belton city, Missouri",-94.5318982,38.8119527
"100","Belvidere city","Illinois","Small","Bike",40,0.4,0.6,"IL","North Central","Belvidere city, Illinois",-88.8442674,42.2639098
"101","Benbrook city","Texas","Small","Bike",42,0.4,0.4,"TX","South","Benbrook city, Texas",-97.4605759,32.673188
"102","Bend city","Oregon","Small","Bike",844,2.3,0.7,"OR","West","Bend city, Oregon",-121.3153096,44.0581728
"103","Benicia city","California","Small","Bike",90,0.7,0.6,"CA","West","Benicia city, California",-122.1585777,38.049365
"104","Benton city","Arkansas","Small","Bike",0,0,0.2,"AR","South","Benton city, Arkansas",-92.586828,34.5645371
"105","Bentonville city","Arkansas","Small","Bike",24,0.1,0.2,"AR","South","Bentonville city, Arkansas",-94.2088172,36.3728538
"106","Bergenfield borough","New Jersey","Small","Bike",39,0.3,0.2,"NJ","Northeast","Bergenfield borough, New Jersey",-73.9973608,40.9275987
"107","Berwyn city","Illinois","Small","Bike",45,0.2,0.2,"IL","North Central","Berwyn city, Illinois",-87.7936685,41.8505874
"108","Bessemer city","Alabama","Small","Bike",0,0,0.3,"AL","South","Bessemer city, Alabama",-86.954437,33.4017766
"109","Bethel Park municipality","Pennsylvania","Small","Bike",7,0,0.1,"PA","Northeast","Bethel Park municipality, Pennsylvania",-80.0394977,40.3275697
"110","Bethlehem city","Pennsylvania","Small","Bike",84,0.3,0.1,"PA","Northeast","Bethlehem city, Pennsylvania",-75.3704579,40.6259316
"111","Bettendorf city","Iowa","Small","Bike",34,0.2,0.2,"IA","North Central","Bettendorf city, Iowa",-90.5072573,41.5262641
"112","Beverly city","Massachusetts","Small","Bike",57,0.3,0.2,"MA","Northeast","Beverly city, Massachusetts",-70.880049,42.5584283
"113","Beverly Hills city","California","Small","Bike",87,0.5,0.5,"CA","West","Beverly Hills city, California",-118.4003563,34.0736204
"114","Biddeford city","Maine","Small","Bike",88,0.8,0.6,"ME","Northeast","Biddeford city, Maine",-70.4533844,43.4925843
"115","Big Spring city","Texas","Small","Bike",33,0.4,0.4,"TX","South","Big Spring city, Texas",-101.4787355,32.2503979
"116","Biloxi city","Mississippi","Small","Bike",88,0.4,0.3,"MS","South","Biloxi city, Mississippi",-88.8853078,30.3960318
"117","Binghamton city","New York","Small","Bike",208,1.1,0.6,"NY","Northeast","Binghamton city, New York",-75.9179738,42.0986867
"118","Birmingham city","Michigan","Small","Bike",21,0.2,0.3,"MI","North Central","Birmingham city, Michigan",-83.2113192,42.5467012
"119","Bismarck city","North Dakota","Small","Bike",271,0.8,0.3,"ND","North Central","Bismarck city, North Dakota",-100.7837392,46.8083268
"120","Bixby city","Oklahoma","Small","Bike",22,0.2,0.3,"OK","South","Bixby city, Oklahoma",-95.8833235,35.9420431
"121","Blacksburg town","Virginia","Small","Bike",531,3.1,1,"VA","South","Blacksburg town, Virginia",-80.4139393,37.2295733
"122","Blaine city","Minnesota","Small","Bike",30,0.1,0.1,"MN","North Central","Blaine city, Minnesota",-93.2349489,45.1607987
"123","Bloomingdale village","Illinois","Small","Bike",0,0,0.3,"IL","North Central","Bloomingdale village, Illinois",-88.0809036,41.9575285
"124","Bloomington city","Illinois","Small","Bike",205,0.5,0.2,"IL","North Central","Bloomington city, Illinois",-88.9892448,40.4166674
"125","Bloomington city","Indiana","Small","Bike",1260,3.6,0.7,"IN","North Central","Bloomington city, Indiana",-86.5263857,39.165325
"126","Bloomington city","Minnesota","Small","Bike",239,0.6,0.2,"MN","North Central","Bloomington city, Minnesota",-93.2982799,44.840798
"127","Blue Island city","Illinois","Small","Bike",12,0.1,0.2,"IL","North Central","Blue Island city, Illinois",-87.6800486,41.6572562
"128","Blue Springs city","Missouri","Small","Bike",52,0.2,0.3,"MO","North Central","Blue Springs city, Missouri",-94.2816148,39.0169509
"129","Blythe city","California","Small","Bike",12,0.2,0.3,"CA","West","Blythe city, California",-114.5882607,33.6177725
"130","Boca Raton city","Florida","Small","Bike",438,1.1,0.5,"FL","South","Boca Raton city, Florida",-80.1289321,26.3683064
"131","Bolingbrook village","Illinois","Small","Bike",27,0.1,0.1,"IL","North Central","Bolingbrook village, Illinois",-88.0683955,41.6986416
"132","Bonita Springs city","Florida","Small","Bike",150,0.9,0.6,"FL","South","Bonita Springs city, Florida",-81.7786972,26.339806
"133","Bossier City city","Louisiana","Small","Bike",101,0.3,0.2,"LA","South","Bossier City city, Louisiana",-93.7321228,32.5159852
"134","Bothell city","Washington","Small","Bike",204,1.2,0.7,"WA","West","Bothell city, Washington",-122.2054452,47.760111
"135","Bountiful city","Utah","Small","Bike",44,0.2,0.2,"UT","West","Bountiful city, Utah",-111.880771,40.8893895
"136","Bowie city","Maryland","Small","Bike",25,0.1,0.1,"MD","South","Bowie city, Maryland",-76.7791365,39.0067768
"137","Bowling Green city","Kentucky","Small","Bike",127,0.5,0.3,"KY","South","Bowling Green city, Kentucky",-86.4808043,36.9685219
"138","Bowling Green city","Ohio","Small","Bike",226,1.5,0.7,"OH","North Central","Bowling Green city, Ohio",-83.6513229,41.3747744
"139","Boynton Beach city","Florida","Small","Bike",187,0.6,0.3,"FL","South","Boynton Beach city, Florida",-80.0905465,26.5317866
"140","Bozeman city","Montana","Small","Bike",1185,5.8,1.2,"MT","West","Bozeman city, Montana",-111.0429339,45.6769979
"141","Bradenton city","Florida","Small","Bike",151,0.7,0.5,"FL","South","Bradenton city, Florida",-82.5748194,27.4989278
"142","Braintree Town city","Massachusetts","Small","Bike",29,0.2,0.2,"MA","Northeast","Braintree Town city, Massachusetts",-71.0040013,42.2079017
"143","Brandon city","Mississippi","Small","Bike",10,0.1,0.1,"MS","South","Brandon city, Mississippi",-90.001384,32.2788733
"144","Brawley city","California","Small","Bike",22,0.3,0.4,"CA","West","Brawley city, California",-115.530267,32.9786566
"145","Brea city","California","Small","Bike",73,0.4,0.3,"CA","West","Brea city, California",-117.9002918,33.916475
"146","Bremerton city","Washington","Small","Bike",221,1.2,0.6,"WA","West","Bremerton city, Washington",-122.6269768,47.5650067
"147","Brentwood city","California","Small","Bike",11,0.1,0.1,"CA","West","Brentwood city, California",-121.6957863,37.931868
"148","Brentwood city","Tennessee","Small","Bike",10,0.1,0.1,"TN","South","Brentwood city, Tennessee",-86.7827772,36.0331164
"149","Bridgeton city","New Jersey","Small","Bike",3,0,0.1,"NJ","Northeast","Bridgeton city, New Jersey",-75.2340768,39.427337
"150","Brighton city","Colorado","Small","Bike",34,0.2,0.2,"CO","West","Brighton city, Colorado",-104.8205283,39.9852617
"151","Bristol city","Connecticut","Small","Bike",36,0.1,0.1,"CT","Northeast","Bristol city, Connecticut",-72.9492703,41.6717648
"152","Bristol city","Tennessee","Small","Bike",15,0.1,0.2,"TN","South","Bristol city, Tennessee",-82.1887444,36.5951059
"153","Brockton city","Massachusetts","Small","Bike",98,0.2,0.2,"MA","Northeast","Brockton city, Massachusetts",-71.0183787,42.0834335
"154","Brookfield city","Wisconsin","Small","Bike",33,0.2,0.2,"WI","North Central","Brookfield city, Wisconsin",-88.1064787,43.0605671
"155","Brookings city","South Dakota","Small","Bike",454,3.7,1.7,"SD","North Central","Brookings city, South Dakota",-96.7983877,44.3113573
"156","Brooklyn Center city","Minnesota","Small","Bike",147,1.1,0.7,"MN","North Central","Brooklyn Center city, Minnesota",-93.3327283,45.076076
"157","Brooklyn Park city","Minnesota","Small","Bike",53,0.1,0.1,"MN","North Central","Brooklyn Park city, Minnesota",-93.3563405,45.0941315
"158","Broomfield city","Colorado","Small","Bike",218,0.7,0.4,"CO","West","Broomfield city, Colorado",-105.0866504,39.9205411
"159","Brownsburg town","Indiana","Small","Bike",0,0,0.3,"IN","North Central","Brownsburg town, Indiana",-86.3977735,39.8433769
"160","Brunswick city","Ohio","Small","Bike",12,0.1,0.1,"OH","North Central","Brunswick city, Ohio",-81.8418006,41.2381096
"161","Bryan city","Texas","Small","Bike",454,1.3,0.6,"TX","South","Bryan city, Texas",-96.3699632,30.6743643
"162","Buckeye town","Arizona","Small","Bike",27,0.1,0.2,"AZ","West","Buckeye town, Arizona",-112.5837766,33.3703197
"163","Buena Park city","California","Small","Bike",453,1.3,0.7,"CA","West","Buena Park city, California",-117.9981387,33.8674044
"164","Buffalo Grove village","Illinois","Small","Bike",114,0.5,0.3,"IL","North Central","Buffalo Grove village, Illinois",-87.9631308,42.1662831
"165","Bullhead City city","Arizona","Small","Bike",0,0,0.3,"AZ","West","Bullhead City city, Arizona",-114.5285981,35.1359386
"166","Burbank city","Illinois","Small","Bike",59,0.5,0.4,"IL","North Central","Burbank city, Illinois",-87.760738,41.7467619
"167","Burien city","Washington","Small","Bike",51,0.3,0.2,"WA","West","Burien city, Washington",-122.3405305,47.4668384
"168","Burleson city","Texas","Small","Bike",73,0.4,0.4,"TX","South","Burleson city, Texas",-97.3208492,32.5420821
"169","Burlingame city","California","Small","Bike",126,0.9,0.6,"CA","West","Burlingame city, California",-122.34809,37.5778696
"170","Burlington city","Iowa","Small","Bike",98,0.9,0.9,"IA","North Central","Burlington city, Iowa",-91.1128901,40.8076529
"171","Burlington city","North Carolina","Small","Bike",0,0,0.2,"NC","South","Burlington city, North Carolina",-79.4377991,36.0956918
"172","Burlington city","Vermont","Small","Bike",1101,5,1.2,"VT","Northeast","Burlington city, Vermont",-73.212072,44.4758825
"173","Burnsville city","Minnesota","Small","Bike",127,0.4,0.3,"MN","North Central","Burnsville city, Minnesota",-93.2777226,44.7677424
"174","Burton city","Michigan","Small","Bike",14,0.1,0.2,"MI","North Central","Burton city, Michigan",-83.6163423,42.9994718
"175","Butte-Silver Bow (balance)","Montana","Small","Bike",42,0.3,0.4,"MT","West","Butte-Silver Bow (balance), Montana",-112.5347775,46.0038232
"176","Cabot city","Arkansas","Small","Bike",0,0,0.3,"AR","South","Cabot city, Arkansas",-92.0165336,34.974532
"177","Calabasas city","California","Small","Bike",0,0,0.4,"CA","West","Calabasas city, California",-118.6614809,34.1367208
"178","Caldwell city","Idaho","Small","Bike",52,0.3,0.3,"ID","West","Caldwell city, Idaho",-116.6873596,43.6629384
"179","Caledonia village","Wisconsin","Small","Bike",26,0.2,0.2,"WI","North Central","Caledonia village, Wisconsin",-87.924248,42.8077958
"180","Calexico city","California","Small","Bike",60,0.5,0.6,"CA","West","Calexico city, California",-115.4988834,32.6789476
"181","Calumet City city","Illinois","Small","Bike",74,0.5,0.6,"IL","North Central","Calumet City city, Illinois",-87.5294871,41.6155909
"182","Camarillo city","California","Small","Bike",156,0.5,0.3,"CA","West","Camarillo city, California",-119.0376023,34.2163937
"183","Camas city","Washington","Small","Bike",64,0.8,0.5,"WA","West","Camas city, Washington",-122.402442,45.5867128
"184","Camden city","New Jersey","Small","Bike",84,0.4,0.4,"NJ","Northeast","Camden city, New Jersey",-75.1196199,39.9259463
"185","Campbell city","California","Small","Bike",432,2,1,"CA","West","Campbell city, California",-121.9499568,37.2871651
"186","Canton city","Georgia","Small","Bike",0,0,0.4,"GA","South","Canton city, Georgia",-84.4907621,34.2367621
"187","Canton city","Ohio","Small","Bike",58,0.2,0.1,"OH","North Central","Canton city, Ohio",-81.378447,40.7989473
"188","Cape Girardeau city","Missouri","Small","Bike",128,0.7,0.8,"MO","North Central","Cape Girardeau city, Missouri",-89.5181476,37.3058839
"189","Carbondale city","Illinois","Small","Bike",381,3.6,1.2,"IL","North Central","Carbondale city, Illinois",-89.2167501,37.7272727
"190","Carlsbad city","New Mexico","Small","Bike",0,0,0.3,"NM","West","Carlsbad city, New Mexico",-104.2288375,32.4206736
"191","Carmel city","Indiana","Small","Bike",137,0.3,0.2,"IN","North Central","Carmel city, Indiana",-86.1180435,39.978371
"192","Carol Stream village","Illinois","Small","Bike",66,0.3,0.4,"IL","North Central","Carol Stream village, Illinois",-88.1347927,41.9125286
"193","Carpentersville village","Illinois","Small","Bike",7,0,0.1,"IL","North Central","Carpentersville village, Illinois",-88.2578582,42.1211364
"194","Carrboro town","North Carolina","Small","Bike",605,5.3,2.1,"NC","South","Carrboro town, North Carolina",-79.0752895,35.9101438
"195","Carrollton city","Georgia","Small","Bike",43,0.5,0.4,"GA","South","Carrollton city, Georgia",-85.0766113,33.5801103
"196","Carson city","California","Small","Bike",85,0.2,0.2,"CA","West","Carson city, California",-118.281693,33.8316745
"197","Carson City","Nevada","Small","Bike",261,1.1,0.6,"NV","West","Carson City, Nevada",-119.7674034,39.1637984
"198","Carteret borough","New Jersey","Small","Bike",61,0.6,0.6,"NJ","Northeast","Carteret borough, New Jersey",-74.223802,40.5860862
"199","Casa Grande city","Arizona","Small","Bike",48,0.3,0.2,"AZ","West","Casa Grande city, Arizona",-111.7733902,32.9110027
"200","Casper city","Wyoming","Small","Bike",195,0.7,0.3,"WY","West","Casper city, Wyoming",-106.3251749,42.8500769
"201","Casselberry city","Florida","Small","Bike",72,0.6,0.5,"FL","South","Casselberry city, Florida",-81.3278455,28.677775
"202","Castle Rock town","Colorado","Small","Bike",18,0.1,0.1,"CO","West","Castle Rock town, Colorado",-104.8560902,39.3722121
"203","Cathedral City city","California","Small","Bike",50,0.2,0.2,"CA","West","Cathedral City city, California",-116.4668036,33.7805388
"204","Cedar City city","Utah","Small","Bike",117,1,0.5,"UT","West","Cedar City city, Utah",-113.0618931,37.6774769
"205","Cedar Falls city","Iowa","Small","Bike",146,0.7,0.4,"IA","North Central","Cedar Falls city, Iowa",-92.4453161,42.5348993
"206","Cedar Hill city","Texas","Small","Bike",19,0.1,0.1,"TX","South","Cedar Hill city, Texas",-96.9561152,32.5884689
"207","Cedar Park city","Texas","Small","Bike",42,0.2,0.2,"TX","South","Cedar Park city, Texas",-97.8202888,30.505198
"208","Centerville city","Ohio","Small","Bike",3,0,4.1,"OH","North Central","Centerville city, Ohio",-84.1593818,39.6283928
"209","Central city","Louisiana","Small","Bike",0,0,0.3,"LA","South","Central city, Louisiana",-91.0368766,30.554281
"210","Ceres city","California","Small","Bike",78,0.5,0.6,"CA","West","Ceres city, California",-120.9577098,37.5949316
"211","Cerritos city","California","Small","Bike",35,0.2,0.2,"CA","West","Cerritos city, California",-118.0647871,33.8583483
"212","Chambersburg borough","Pennsylvania","Small","Bike",28,0.3,0.4,"PA","Northeast","Chambersburg borough, Pennsylvania",-77.6611022,39.9375911
"213","Champaign city","Illinois","Small","Bike",1075,2.7,0.6,"IL","North Central","Champaign city, Illinois",-88.2753144,40.1017582
"214","Champlin city","Minnesota","Small","Bike",52,0.4,0.3,"MN","North Central","Champlin city, Minnesota",-93.3974537,45.1888539
"215","Chanhassen city","Minnesota","Small","Bike",35,0.3,0.4,"MN","North Central","Chanhassen city, Minnesota",-93.5323103,44.8619645
"216","Chapel Hill town","North Carolina","Small","Bike",583,2.2,0.5,"NC","South","Chapel Hill town, North Carolina",-79.0558445,35.9131996
"217","Charleston city","Illinois","Small","Bike",110,1.1,0.7,"IL","North Central","Charleston city, Illinois",-88.1761521,39.4961458
"218","Charleston city","West Virginia","Small","Bike",49,0.2,0.1,"WV","South","Charleston city, West Virginia",-81.6326234,38.3498195
"219","Charlottesville city","Virginia","Small","Bike",753,3.7,0.9,"VA","South","Charlottesville city, Virginia",-78.4766781,38.0293059
"220","Chaska city","Minnesota","Small","Bike",24,0.2,0.2,"MN","North Central","Chaska city, Minnesota",-93.6018389,44.7893446
"221","Chelsea city","Massachusetts","Small","Bike",136,0.8,0.6,"MA","Northeast","Chelsea city, Massachusetts",-71.0328284,42.3917638
"222","Chester city","Pennsylvania","Small","Bike",104,0.9,0.8,"PA","Northeast","Chester city, Pennsylvania",-75.3557457,39.849557
